budget,homepage,id,original_language,release_date,revenue,runtime,title,genre
30000000,http://toystory.disney.com/toy-story,862,en,1995-10-30,373554033,81,Toy Story,Adventure
65000000,,8844,en,1995-12-15,262797249,104,Jumanji,Thriller
16000000,,31357,en,1995-12-22,81452156,127,Waiting to Exhale,Horror
60000000,,949,en,1995-12-15,187436818,170,Heat,Sci-Fi
35000000,,9091,en,1995-12-22,64350171,106,Sudden Death,Documentary
58000000,http://www.mgm.com/view/movie/757/Goldeneye/,710,en,1995-11-16,352194034,130,GoldenEye,Drama
62000000,,9087,en,1995-11-17,107879496,106,The American President,Drama
44000000,,10858,en,1995-12-22,13681765,192,Nixon,Action
98000000,,1408,en,1995-12-22,10017322,119,Cutthroat Island,Adventure
52000000,,524,en,1995-11-22,116112375,178,Casino,Thriller
16500000,,4584,en,1995-12-13,135000000,136,Sense and Sensibility,Comedy
4000000,,5,en,1995-12-09,4300000,98,Four Rooms,Drama
30000000,,9273,en,1995-11-10,212385533,90,Ace Ventura: When Nature Calls,Comedy
60000000,,11517,en,1995-11-21,35431113,103,Money Train,Sci-Fi
30250000,,8012,en,1995-10-20,115101622,105,Get Shorty,Action
50000000,,9691,en,1995-10-06,30303072,132,Assassins,Drama
3600000,http://www.mgm.com/title_title.do?title_star=LEAVINGL,451,en,1995-10-27,49800000,112,Leaving Las Vegas,Comedy
12000000,,9263,en,1995-10-20,27400000,100,Now and Then,Horror
18000000,,902,fr,1995-05-16,1738611,108,The City of Lost Children,Comedy
29500000,,63,en,1995-12-29,168840000,129,Twelve Monkeys,Action
30000000,,9598,en,1995-07-18,254134910,89,Babe,Action
11000000,,687,en,1995-12-29,39363635,122,Dead Man Walking,Thriller
18000000,,9312,en,1995-08-18,122195920,101,Mortal Kombat,Sci-Fi
20000000,,577,en,1995-05-20,21284514,106,To Die For,Thriller
10000000,,11861,en,1995-10-06,23574130,116,How To Make An American Quilt,Adventure
33000000,http://www.sevenmovie.com/,807,en,1995-09-22,327311859,127,Se7en,Sci-Fi
55000000,,10530,en,1995-06-14,346079773,81,Pocahontas,Action
6000000,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,en,1995-07-19,23341568,106,The Usual Suspects,Thriller
15000000,,11448,en,1995-09-13,6700000,95,Mighty Aphrodite,Documentary
3500000,http://www.newline.com/properties/friday.html,10634,en,1995-04-26,28215918,91,Friday,Documentary
19000000,http://www.miramax.com/movie/from-dusk-till-dawn/,755,en,1996-01-19,25836616,108,From Dusk Till Dawn,Sci-Fi
50000000,,11859,en,1995-11-03,11534477,91,Fair Game,Horror
15000000,,36929,en,1996-01-26,2042530,90,Big Bully,Adventure
20000000,,9102,en,1995-09-08,5781885,108,Screamers,Drama
8000000,,400,en,1995-12-01,529766,116,Things to Do in Denver When You're Dead,Sci-Fi
38000000,,10534,en,1996-02-02,10300000,129,White Squall,Horror
8169363,,2086,en,1995-11-22,8175346,90,Nick of Time,Documentary
47000000,,9095,en,1996-02-23,12379402,104,Mary Reilly,Drama
14000000,,12158,en,1995-10-26,19800000,100,Vampire in Brooklyn,Sci-Fi
50000000,,9208,en,1996-02-09,150270147,108,Broken Arrow,Documentary
7000000,,13685,en,1996-02-21,560069,91,Bottle Rocket,Sci-Fi
12000000,,9614,en,1996-02-16,41205099,92,Happy Gilmore,Thriller
24000000,,688,en,1995-05-28,182016617,135,The Bridges of Madison County,Comedy
72000000,,197,en,1995-05-24,210000000,177,Braveheart,Documentary
1300000,,103,en,1976-02-07,28262574,114,Taxi Driver,Drama
7500000,,33542,cn,1995-01-30,32392047,91,Rumble in the Bronx,Action
25000000,,78406,en,1995-09-29,6278139,113,Steal Big Steal Little,Drama
40000000,,11066,en,1992-06-30,70100000,117,Boomerang,Horror
7000000,,2074,en,1996-03-22,14702438,92,Flirting with Disaster,Comedy
50000000,,11863,en,1995-10-13,9851610,95,Jade,Drama
31000000,,11000,en,1996-03-08,185260553,117,The Birdcage,Comedy
19000000,,9737,en,1995-04-07,141407024,118,Bad Boys,Comedy
4000000,,22279,en,1995-07-21,851545,113,An Awfully Big Adventure,Adventure
52000000,,568,en,1995-06-30,355237933,140,Apollo 13,Action
28000000,,11780,en,1995-04-13,31596911,139,Rob Roy,Horror
100000000,,414,en,1995-06-16,336529144,121,Batman Forever,Drama
