,Rating_id,Rating,Movie_id,title,Username,Critique,Date
0,1,4.8,862,Toy Story,asolan0,"Bypass Jejunum to Ascending Colon, Open Approach",2015-02-10
1,2,7.5,8844,Jumanji,nscryne1,"Insert of Infusion Dev into L Foot Vein, Perc Endo Approach",2009-08-06
2,3,2.0,31357,Waiting to Exhale,eainscow2,"Bypass Cereb Vent to Nasophar with Nonaut Sub, Open Approach",2014-11-13
3,4,6.4,949,Heat,ckinder3,"Insertion of Radioactive Element into Face, Perc Approach",2016-07-08
4,5,5.1,9091,Sudden Death,owolfenden4,"Restrict of R Popl Art with Intralum Dev, Perc Endo Approach",2010-10-18
5,6,1.3,710,GoldenEye,glammerding5,ROM/Jt Integrity Assessment of Integu Low Back/LE,2015-08-20
6,7,4.0,9087,The American President,ccastagnier6,"Supplement R Humeral Shaft with Nonaut Sub, Perc Approach",2018-10-30
7,8,4.9,10858,Nixon,iburriss7,"Inspection of Left Sacroiliac Joint, Percutaneous Approach",2007-02-06
8,9,9.0,1408,Cutthroat Island,rfiloniere8,"Supplement L Up Extrem Bursa/Lig w Synth Sub, Open",2019-10-08
9,10,2.3,524,Casino,dbrocklesby9,"Restrict of Up Esophag with Extralum Dev, Perc Endo Approach",2009-05-19
10,11,7.6,4584,Sense and Sensibility,rsollama,Exercise Trmt Musculosk Low Back/LE w Physical Agent,2015-06-07
11,12,8.5,5,Four Rooms,ngallacherb,"Bypass R Ext Iliac Art to R Femor A w Nonaut Sub, Open",2019-07-24
12,13,2.2,9273,Ace Ventura: When Nature Calls,hbesnardc,"Release Right Ventricle, Percutaneous Endoscopic Approach",2012-11-18
13,14,3.7,11517,Money Train,emeriottd,"Release Clitoris, External Approach",2021-07-02
14,15,2.3,8012,Get Shorty,ttayee,"Monitoring of Cardiac Output, Open Approach",2021-02-17
15,16,5.3,9691,Assassins,bguppyf,"Reposition Perineum Bursa and Ligament, Perc Endo Approach",2020-12-26
16,17,4.8,451,Leaving Las Vegas,kcottierg,"Removal of Infusion Device from Pancreas, Perc Endo Approach",2000-06-19
17,18,2.8,9263,Now and Then,jbeynh,"Release Nasopharynx, Endo",2012-07-02
18,19,2.0,902,The City of Lost Children,gpaffetti,"Occlusion of Urethra with Intraluminal Device, Open Approach",2012-07-02
19,20,3.1,63,Twelve Monkeys,bdewsnapj,"Repair Left Metacarpocarpal Joint, Perc Endo Approach",2010-07-17
20,21,2.2,9598,Babe,awicksonk,"Bypass R Ventricle to L Pulm Art w Autol Art, Open",2004-01-31
21,22,9.4,687,Dead Man Walking,hlecordierl,"Drainage of R Ext Auditory Canal with Drain Dev, Endo",2015-05-09
22,23,7.6,9312,Mortal Kombat,olavallm,"Bypass R Subclav Art to R Extracran Art w Synth Sub, Open",2019-01-09
23,24,8.3,577,To Die For,mswadenn,"Extirpation of Matter from L Lacrml Gland, Open Approach",2017-10-01
24,25,3.6,11861,How To Make An American Quilt,acolombiero,"Insertion of Monitoring Device into Ureter, Open Approach",2012-07-21
25,26,8.2,807,Se7en,tdochertyp,"Repair Transverse Colon, Percutaneous Endoscopic Approach",2001-11-12
26,27,5.3,10530,Pocahontas,epimmockeq,"Bypass R Subclav Art to Bi Up Arm Art w Autol Vn, Open",2011-08-22
27,28,9.3,629,The Usual Suspects,vtookerr,"Dilate of Esophagast Junct with Intralum Dev, Perc Approach",2019-03-22
28,29,5.1,11448,Mighty Aphrodite,khearnes,"Extirpation of Matter from Right External Ear, Open Approach",2000-05-25
29,30,1.8,10634,Friday,jgrzegorczykt,"Dilate L Int Mamm Art, Bifurc, w 2 Drug-elut, Perc Endo",2007-12-20
30,31,4.2,755,From Dusk Till Dawn,hleggingu,"Dilation of Inferior Mesenteric Vein, Open Approach",2011-11-30
31,32,7.6,11859,Fair Game,vprickettv,"Release Right Anterior Tibial Artery, Open Approach",2007-08-02
32,33,2.9,36929,Big Bully,kgymlettw,"Release Left Ureter, Endo",2006-09-18
33,34,5.8,9102,Screamers,rnickellx,"Reposition Lower Tooth with Ext Fix, All, Open Approach",2000-07-02
34,35,9.1,400,Things to Do in Denver When You're Dead,fdemorenoy,"Removal of Infusion Device from Neck, Perc Endo Approach",2003-06-04
35,36,6.2,10534,White Squall,vmcgiveenz,"Extraction of Endometrium, Endo",2015-03-06
36,37,4.8,2086,Nick of Time,ebrenton10,"Drainage of Sternum, Percutaneous Approach",2023-02-01
37,38,7.9,9095,Mary Reilly,cibbetson11,"Release Gallbladder, Open Approach",2009-09-03
38,39,6.8,12158,Vampire in Brooklyn,cveltman12,"Excision of R Int Iliac Art, Perc Endo Approach, Diagn",2020-10-27
39,40,8.0,9208,Broken Arrow,eheinreich13,"Transplantation of Left Ovary, Zooplastic, Open Approach",2004-05-07
40,41,2.5,13685,Bottle Rocket,avasilkov14,"Dilate R Radial Art w 3 Intralum Dev, Perc Endo",2016-07-10
41,42,3.8,9614,Happy Gilmore,sllewhellin15,Change Bandage on Right Lower Extremity,2017-02-02
42,43,9.6,688,The Bridges of Madison County,mendrizzi16,"Drainage of Right Submaxillary Gland, Open Approach",2010-01-05
43,44,2.0,197,Braveheart,dlamprey17,"Dilation of R Popl Art with 2 Intralum Dev, Perc Approach",2019-08-04
44,45,1.7,103,Taxi Driver,nblenkinsop18,"Revision of Autol Sub in Nose, Via Opening",2020-08-12
45,46,4.9,33542,Rumble in the Bronx,vallewell19,"Supplement Bi Seminal Vesicle w Autol Sub, Perc Endo",2011-07-16
46,47,1.4,78406,Steal Big Steal Little,rcaddies1a,"Dilation of R Popl Art with Intralum Dev, Open Approach",2009-03-08
47,48,2.8,11066,Boomerang,vmincher1b,"Excision of Thor Aorta Asc, Perc Endo Approach, Diagn",2000-10-23
48,49,6.7,2074,Flirting with Disaster,btideswell1c,Removal of Splint on Right Toe,2014-08-26
49,50,4.9,11863,Jade,lrawlings1d,"Bypass Left Hepatic Duct to Small Intestine, Open Approach",2012-02-27
50,51,1.1,11000,The Birdcage,dairs1e,"Restriction of Left Internal Mammary Artery, Perc Approach",2017-05-15
51,52,2.1,9737,Bad Boys,ggouldbourn1f,"Drainage of L Foot Muscle with Drain Dev, Perc Endo Approach",2008-03-30
52,53,1.0,22279,An Awfully Big Adventure,lmellem1g,"Removal of Drainage Device from L Knee Jt, Open Approach",2015-07-16
53,54,6.3,568,Apollo 13,lyorkston1h,"Removal of Drain Dev from L Metacarpocarp Jt, Open Approach",2007-08-20
54,55,2.6,11780,Rob Roy,abaldry1i,"Insert Tissue Expander in Pelvic Subcu/Fascia, Open",2010-12-25
55,56,6.7,414,Batman Forever,rballing1j,"Transfuse of Autol Factor IX into Central Art, Perc Approach",2017-04-21
56,57,3.7,5894,Blue in the Face,shuckell1k,"Bypass L Com Iliac Art to R Com Ilia w Autol Art, Open",2020-05-29
57,58,6.6,1775,Canadian Bacon,rcullimore1l,"Drainage of Left Axilla with Drain Dev, Perc Endo Approach",2014-02-15
58,59,1.1,8839,Casper,ftreanor1m,"Supplement L Renal Art with Synth Sub, Perc Endo Approach",2009-10-02
59,60,6.9,20649,Clockers,mmarflitt1n,"Assist with Cardiac Output using Impeller Pump, Intermittent",2010-01-02
60,61,2.4,10329,Congo,vhillaby1o,"Removal of Monitor Dev from Azygos Vein, Perc Endo Approach",2000-05-19
61,62,9.9,8963,Crimson Tide,awhisker1p,"Removal of Int Fix from L Metatarsophal Jt, Open Approach",2023-11-06
62,63,7.2,8068,Desperado,hhaggarty1q,Tomo Nucl Med Imag Lymph & Hemat Sys w Oth Radionuclide,2016-11-25
63,64,3.2,8512,Devil in a Blue Dress,mbrunsden1r,"Supplement Aortic Lymph with Nonaut Sub, Perc Endo Approach",2020-11-01
64,65,9.7,1572,Die Hard: With a Vengeance,alongman1s,"Occlusion of Mesenteric Lymphatic, Percutaneous Approach",2010-07-20
65,66,6.6,6520,First Knight,aheskin1t,"Dilate R Brach Art, Bifurc, w Intralum Dev, Open",2000-07-19
66,67,8.5,10428,Hackers,vway1u,"Drainage of L Up Arm with Drain Dev, Perc Endo Approach",2017-05-26
67,68,2.9,9886,Johnny Mnemonic,chatherall1v,"Removal of Drain Dev from Endocrine Gland, Extern Approach",2012-08-17
68,69,3.5,9482,Judge Dredd,rmaccombe1w,"Restriction of Ascending Colon, Perc Endo Approach",2007-04-12
69,70,5.1,9344,Kids,rspencock1x,"Repair Right Mandible, External Approach",2007-09-25
70,71,6.8,9071,Living in Oblivion,braccio1y,"Bypass L Int Iliac Art to B Femor A, Open Approach",2019-12-22
71,72,4.2,2293,Mallrats,lrobers1z,"Occlusion L Low Lobe Bronc w Intralum Dev, Perc Endo",2022-04-21
